,reconsimplerandom_ARES_10-5-10_1reconsimplerandom_ARES_10-5-10_2reconsimplerandom_ARES_10-5-10_3reconsimplerandom_ARES_10-5-10_4reconsimplerandom_ARES_10-5-10_5reconsimplerandom_ARES_10-5-10_6,reconsimplerandom_ARES_10-5-15_1reconsimplerandom_ARES_10-5-15_2reconsimplerandom_ARES_10-5-15_3reconsimplerandom_ARES_10-5-15_4reconsimplerandom_ARES_10-5-15_5reconsimplerandom_ARES_10-5-15_6,reconsimplerandom_ARES_10-5-20_1reconsimplerandom_ARES_10-5-20_2reconsimplerandom_ARES_10-5-20_3reconsimplerandom_ARES_10-5-20_4reconsimplerandom_ARES_10-5-20_5reconsimplerandom_ARES_10-5-20_6,reconsimplerandom_ARES_10-5-25_1reconsimplerandom_ARES_10-5-25_2reconsimplerandom_ARES_10-5-25_3reconsimplerandom_ARES_10-5-25_4reconsimplerandom_ARES_10-5-25_5reconsimplerandom_ARES_10-5-25_6,reconsimplerandom_ARES_10-5-30_1reconsimplerandom_ARES_10-5-30_2reconsimplerandom_ARES_10-5-30_3reconsimplerandom_ARES_10-5-30_4reconsimplerandom_ARES_10-5-30_5reconsimplerandom_ARES_10-5-30_6,reconsimplerandom_ARES_10-5-35_1reconsimplerandom_ARES_10-5-35_2reconsimplerandom_ARES_10-5-35_3reconsimplerandom_ARES_10-5-35_4reconsimplerandom_ARES_10-5-35_5reconsimplerandom_ARES_10-5-35_6,reconsimplerandom_ARES_10-5-40_1reconsimplerandom_ARES_10-5-40_2reconsimplerandom_ARES_10-5-40_3reconsimplerandom_ARES_10-5-40_4reconsimplerandom_ARES_10-5-40_5reconsimplerandom_ARES_10-5-40_6,reconsimplerandom_ARES_10-5-45_1reconsimplerandom_ARES_10-5-45_2reconsimplerandom_ARES_10-5-45_3reconsimplerandom_ARES_10-5-45_4reconsimplerandom_ARES_10-5-45_5reconsimplerandom_ARES_10-5-45_6,reconsimplerandom_ARES_10-5-50_1reconsimplerandom_ARES_10-5-50_2reconsimplerandom_ARES_10-5-50_3reconsimplerandom_ARES_10-5-50_4reconsimplerandom_ARES_10-5-50_5reconsimplerandom_ARES_10-5-50_6,reconsimplerandom_ARES_10-5-5_1reconsimplerandom_ARES_10-5-5_2reconsimplerandom_ARES_10-5-5_3reconsimplerandom_ARES_10-5-5_4reconsimplerandom_ARES_10-5-5_5reconsimplerandom_ARES_10-5-5_6
mean_read_operation_latency_ABD,0.31069598073187327,0.42304528876655606,0.45308321857468586,0.4590546917234411,0.5309012908235032,0.5762236656861776,0.664536561819308,0.7331069172366677,0.892047253952558,0.336361300831641
median_read_operation_latency_ABD,0.3052837971437752,0.4074534998197691,0.4568600692313932,0.5010589910148141,0.5531304531447083,0.6220795095397327,0.7238381502095743,0.7774621219495155,0.9038664987732528,0.36210484321863295
std_read_operation_latency_ABD,0.032730356379130486,0.027602640964982363,0.030642320321602887,0.08287832311595231,0.05172344907490203,0.09817339423071857,0.1420212870672738,0.22573899413448162,0.32372970396158834,0.06788554353379209
max_read_operation_latency_ABD,0.3583959141913801,0.4729739433534009,0.50186883506532,0.5311762517759692,0.5774356780911625,0.6934255166641948,0.8090100393694115,1.053774744773865,1.2596349334549273,0.39727341808043126
min_read_operation_latency_ABD,0.25617389757452225,0.399245436198635,0.3980548373121645,0.29551430147370816,0.425745647689359,0.4132035365831339,0.43686271157800727,0.4372718116718985,0.4939987517264114,0.1890239237728374
sem_read_operation_latency_ABD,0.014637460358305932,0.012344276311244191,0.013703662245485455,0.03706431286969231,0.023131429632445914,0.04390447661635448,0.0635138504268872,0.10095354721142544,0.1447763248787989,0.03035933800621608
mean_read_operation_latency_EC,0.19288505168204295,0.24530049254027989,0.2513164566498583,0.2712433724107079,0.28793425521021404,0.3358116816186043,0.4624366506472614,0.4576772003111877,0.7778335245308933,0.21178768547536567
median_read_operation_latency_EC,0.18791450010918717,0.23237649814731143,0.24798282150832046,0.27079588232635965,0.286103990943049,0.3368222114352989,0.357270920384679,0.42452337928320416,0.6720792769631112,0.21459925300958907
std_read_operation_latency_EC,0.011873095700080013,0.021770488263216026,0.03968850915272611,0.04389020923684772,0.022114798002497268,0.02556888738205968,0.1781462750121886,0.097647989863083,0.42511991417680656,0.03236473390165689
max_read_operation_latency_EC,0.2178159832013528,0.28360471535259796,0.32661664307430727,0.3424797064731614,0.3303383005276751,0.37715882540438067,0.7984140947797729,0.6584411126661116,1.5407618216095011,0.2546715420318483
min_read_operation_latency_EC,0.18121457943968405,0.22483013577480682,0.1902776220625485,0.204694641667326,0.2617763804457044,0.291506948586711,0.31884494145592823,0.3461525638690359,0.3304038918506975,0.14699285862386963
sem_read_operation_latency_EC,0.005309809817747872,0.009736058331982475,0.017749240878223636,0.021945104618423857,0.009890038328452092,0.011434754059064418,0.07966943617312518,0.043669508640012795,0.19011940533764324,0.01447394901555936
mean_read_operation_latency_total,0.23574433217745902,0.3019303480625149,0.340367251105637,0.38245555512445123,0.3841294367298393,0.44933885073399465,0.48974261548801773,0.5742410176943783,0.7388974464916364,0.2661170846350044
median_read_operation_latency_total,0.242750872878081,0.29158599230157356,0.3356755631138124,0.36683474509664105,0.4034443101942735,0.4593629777463762,0.4963982351104156,0.564514750043233,0.7149529878249944,0.2846118071582654
std_read_operation_latency_total,0.03145625066051447,0.039531404374096586,0.0555534079195003,0.08558544019278384,0.055046786936381896,0.05451482751213733,0.021975178783742905,0.07917627407085519,0.08150429798642887,0.05309469909200436
max_read_operation_latency_total,0.270556285193367,0.3664553398577765,0.43071205992167066,0.49734445804082994,0.435426130080531,0.5123090068994844,0.5170821630133348,0.724392519533665,0.876392872962344,0.3249789255166798
min_read_operation_latency_total,0.19492365967521136,0.25297945655536347,0.27117154118281184,0.2591864375511553,0.2785674578233281,0.34779967627953556,0.4576812855915159,0.46856863259445836,0.6479091919324902,0.16902293651665787
sem_read_operation_latency_total,0.014067662958836604,0.0176789814853025,0.024844239297955567,0.03827497243106148,0.024617671506539464,0.024379772019762963,0.009827598715632059,0.03540870620551725,0.03644983015121084,0.023744671282923624
mean_recon_operation_latency,1.2816491116378506,1.690007527305233,1.3453602070003905,1.9937994540329782,1.156105969361925,1.2343681848616244,1.4286457447505605,1.7745353971112967,2.224856272722017,1.1168580971378534
median_recon_operation_latency,1.0486778040000595,1.7127700209991115,1.0848591389155142,1.9280610934996123,1.1326276621658735,1.2165367711674357,1.441435407833069,1.6605372300005001,2.0621751158323605,1.005246913332409
std_recon_operation_latency,0.3831488675452427,0.35575438480151766,0.42377166844573244,0.19471365789498016,0.0972674790281836,0.09515466618349985,0.07002499887207864,0.47163869469545444,0.6324112792664118,0.17373744909378555
max_recon_operation_latency,2.0113551559998846,2.0920445028333083,2.0744039671665937,2.3732117653319924,1.3295123293355573,1.3533287346654106,1.526100459836016,2.7141771060003825,3.522786334333432,1.3802132379998966
min_recon_operation_latency,0.9776574733308129,1.0163384431668117,1.006300876668926,1.8325262261666164,1.023231006833612,1.1165377681669877,1.3005314315002277,1.3282425569996121,1.6162906761666893,0.9834085204990212
sem_recon_operation_latency,0.17134938266664515,0.1590981975419623,0.1895164515166321,0.09735682894749008,0.043499339021410746,0.04255446039252123,0.03131613152046279,0.21092323643166114,0.2828229220354601,0.07769774928222276
mean_write_operation_latency_ABD,0.19608746430722765,0.19148495905252322,0.19686376800934058,0.2108836934351473,0.24003447399382383,0.27425381546219396,0.3504589163999556,0.4235773645663084,0.485988196352005,0.17378492756141325
median_write_operation_latency_ABD,0.15878233649608714,0.16205493075907568,0.18228712937657254,0.19599430668397627,0.24140184748261806,0.2850967381502248,0.379884489641631,0.4352158600022049,0.4582531270389691,0.15862609918496035
std_write_operation_latency_ABD,0.08071076710190365,0.04489591913420844,0.03671280845644646,0.03317546187950789,0.02278537306013567,0.039585690180178046,0.08964246372201325,0.14889000061966995,0.18722419729134746,0.045071908354128706
max_write_operation_latency_ABD,0.3730201019999034,0.27630715425417784,0.27787659149547916,0.2769301487750445,0.27676442943595647,0.3166000477479946,0.4742783794307715,0.5968028371979965,0.7309344788948449,0.26202899827541226
min_write_operation_latency_ABD,0.14633769592454265,0.15974779436881623,0.17108642763804688,0.18881108982253042,0.19988651104542493,0.19002156894690497,0.20789983326272665,0.18894678841430895,0.2282128805740858,0.12814567831563517
sem_write_operation_latency_ABD,0.03609495235120206,0.02244795956710422,0.01641846707070868,0.01658773093975395,0.010189928611031154,0.017703258835824805,0.040089328510596094,0.06658563251111356,0.08372920643525698,0.020156770191094495
mean_write_operation_latency_EC,0.08556586289125867,0.08619232155178802,0.08286866974762956,0.08775495463132049,0.08385012174153478,0.09876169043661076,0.21643770675471696,0.1471037219721231,0.3669353026885092,0.08550624341343438
median_write_operation_latency_EC,0.0771295005860185,0.07885705068953816,0.08191320399151841,0.08753479894391147,0.08418536532977254,0.09639917191308067,0.1054151191457359,0.12676599435358726,0.25880902107972853,0.07794859716671383
std_write_operation_latency_EC,0.01963007774061603,0.018397318698222868,0.009263007701538777,0.008213271137044495,0.0067428430782265165,0.008723325717116419,0.18463120317547002,0.049852048107767354,0.23540909749066014,0.019700518082166486
max_write_operation_latency_EC,0.1266716290483108,0.12694357410435422,0.09672131509084161,0.0979507314300667,0.09590889855258186,0.11645561374040907,0.5934366696320477,0.23741946762640903,0.7306294877954526,0.12739859043886276
min_write_operation_latency_EC,0.06928234182689738,0.07465128062577031,0.07007028171681695,0.07799948920739229,0.07308501531268892,0.08897216961192012,0.0892041055158883,0.09813180927437479,0.14827330461229538,0.07039775950008931
sem_write_operation_latency_EC,0.008778837646324587,0.008227531042590854,0.004142542979348959,0.004741934301900024,0.003015491096905685,0.003901189858668883,0.0825695842135852,0.022294513677311518,0.10527814890219826,0.00881033952473761
mean_write_operation_latency_total,0.11727468408051461,0.13095232462489903,0.1388512007721667,0.159625642528015,0.14124516778213622,0.19111427570224174,0.2423404734639932,0.265993660089014,0.4248400599717124,0.13518530153454902
median_write_operation_latency_total,0.1229235524465912,0.10911437535829765,0.14382339619847395,0.15976004810665775,0.13861395197660237,0.18925875399031308,0.2252726976731901,0.23847068298891827,0.4287670609416204,0.1250326589965577
std_write_operation_latency_total,0.020524371593148058,0.05823066932696109,0.026182093512869112,0.032710880464817745,0.029644657722694652,0.018933538638196475,0.049705046974697104,0.08481683656073527,0.08583888202776366,0.04888848819898585
max_write_operation_latency_total,0.14422257125993687,0.2512709837700064,0.17639172469335185,0.19847164545664178,0.19243936259658465,0.216256646980061,0.3448920798333438,0.45021422316657367,0.5739780422932139,0.23168829908668007
min_write_operation_latency_total,0.08421277286999006,0.07606483244599076,0.0912350792598833,0.11317461138663931,0.09693459280344541,0.16851699777000856,0.19890703512059799,0.18656932733666207,0.3232237026866679,0.08479732429007222
sem_write_operation_latency_total,0.009178778015548943,0.02604154699807939,0.011708988177606322,0.016355440232408872,0.013257493967531874,0.008467335889925223,0.0222287727720486,0.03793124243725871,0.038388315065332905,0.021863596586025727
readers_no,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,5.0
reads_no,590.0,900.0,1200.0,1260.0,1800.0,2100.0,2400.0,2700.0,3000.0,300.0
recons_no,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0
servers_no,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
succ_writes_no,300.0,300.0,300.0,250.0,300.0,300.0,300.0,300.0,300.0,300.0
unsucc_writes_no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
writers_no,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
writes_no,300.0,300.0,300.0,250.0,300.0,300.0,300.0,300.0,300.0,300.0
succ_writes_perc,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
unsucc_writes_perc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
